#: table_doi: 10.17182/hepdata.95664.v2/t10
#: name: Signal acceptance 2
#: description: Signal region acceptance for simplified model with gluino pair production and decays to two quarks and neutralino in SR BDT-GGd2
#: data_file: signal_acceptance_2.yaml
#: keyword reactions: PP --> SQUARK SQUARK | PP --> GLUINO GLUINO | PP --> SQUARK GLUINO
#: keyword observables: N
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Proton-Proton Scattering
#: SQRT(S)=13TeV,SIGNAL
M(Gluino) [GeV],M(LSP) [GeV],Acceptance  [%]
2200.0,800.0,29.06
2200.0,1000.0,24.51
2400.0,200.0,27.45
1000.0,900.0,0.0034
2200.0,100.0,25.71
1900.0,1300.0,1.39
2400.0,600.0,31.5
1500.0,1450.0,0.011
1100.0,900.0,0.035
1900.0,900.0,13.32
700.0,600.0,0.011
2800.0,1000.0,34.32
2400.0,100.0,26.81
700.0,650.0,0.0058
1800.0,1200.0,1.27
900.0,800.0,0.0069
1500.0,1300.0,0.031
2200.0,1800.0,0.237
1800.0,1400.0,0.295
600.0,550.0,0.0034
1200.0,800.0,0.192
1600.0,1550.0,0.017
2200.0,1300.0,11.22
2200.0,300.0,29.38
1800.0,600.0,20.05
2000.0,1300.0,3.04
1800.0,1000.0,4.94
1700.0,500.0,18.49
2200.0,200.0,27.63
1200.0,1000.0,0.029
2400.0,1200.0,25.64
2400.0,900.0,31.77
2600.0,0.5,26.3
2400.0,1300.0,22.22
2000.0,500.0,26.86
3000.0,200.0,25.62
900.0,875.0,0.013
2400.0,0.5,26.37
1900.0,100.0,24.57
2400.0,1600.0,5.88
2800.0,200.0,26.59
1700.0,1300.0,0.278
2000.0,100.0,25.0
2800.0,400.0,29.44
3000.0,600.0,30.23
1900.0,500.0,24.61
1700.0,1500.0,0.041
2400.0,1100.0,29.17
1500.0,1400.0,0.0097
1600.0,1000.0,1.22
1300.0,1200.0,0.017
1400.0,1200.0,0.03
2000.0,400.0,27.99
900.0,700.0,0.018
1800.0,800.0,12.32
2000.0,1400.0,1.45
2000.0,800.0,22.37
1600.0,1400.0,0.066
2200.0,0.5,26.72
2200.0,1100.0,20.86
2600.0,600.0,32.67
3000.0,1000.0,33.62
1400.0,1300.0,0.024
1700.0,300.0,20.51
2200.0,600.0,29.9
1900.0,700.0,21.33
2600.0,1000.0,34.59
800.0,750.0,0.0082
3000.0,0.5,24.62
2200.0,500.0,29.89
1300.0,700.0,0.989
1100.0,700.0,0.154
2800.0,1200.0,35.1
2600.0,800.0,33.36
1000.0,800.0,0.018
600.0,500.0,0.0063
1800.0,0.5,23.24
1200.0,1150.0,0.0088
1800.0,400.0,22.99
2400.0,400.0,30.69
2600.0,400.0,29.67
2400.0,1800.0,1.32
3000.0,800.0,31.64
2400.0,700.0,31.82
1200.0,1100.0,0.009
2200.0,1400.0,6.18
1500.0,1100.0,0.228
3000.0,400.0,28.75
2800.0,1400.0,33.4
1700.0,1100.0,1.39
1900.0,1100.0,5.07
2000.0,300.0,26.69
1700.0,700.0,12.46
1400.0,1000.0,0.213
2000.0,200.0,25.67
1100.0,1000.0,0.0099
2000.0,1600.0,0.271
2400.0,800.0,31.78
2400.0,1000.0,30.53
1100.0,1050.0,0.011
500.0,450.0,0.0007
2400.0,500.0,30.58
1300.0,1250.0,0.0081
1700.0,100.0,21.1
1700.0,900.0,4.09
1800.0,1600.0,0.059
2800.0,800.0,32.62
1800.0,200.0,22.95
2200.0,700.0,29.36
1900.0,300.0,24.98
2600.0,1200.0,31.58
900.0,600.0,0.051
1500.0,700.0,3.65
2800.0,600.0,31.2
1400.0,800.0,1.0
1600.0,1500.0,0.016
2400.0,1400.0,15.65
1600.0,1200.0,0.275
2000.0,900.0,19.18
1900.0,1500.0,0.231
1300.0,900.0,0.238
1500.0,900.0,1.18
2600.0,200.0,27.87
1600.0,800.0,4.03
2000.0,1000.0,14.15
2000.0,1800.0,0.042
2200.0,900.0,27.17
2200.0,400.0,29.77
2600.0,1400.0,26.92
2000.0,700.0,24.42
2000.0,1200.0,5.37
2000.0,600.0,25.78
2400.0,300.0,29.27
1400.0,1350.0,0.0079
2200.0,1200.0,15.88
2000.0,1100.0,10.09
1000.0,950.0,0.01
3000.0,1200.0,35.46
1300.0,1100.0,0.044
800.0,700.0,0.0096
2200.0,1600.0,1.49
2600.0,1600.0,18.46
2800.0,0.5,24.31
500.0,400.0,0.0009
2000.0,0.5,25.62

